cpu_usage_pct,ram_usage_gb,network_throughput_mbps,temperature_celsius,server_status
74.1,29.32,494.22,50.55,1
59.91,19.42,375.13,59.8,1
56.33,7.31,514.68,72.72,1
65.18,26.46,776.42,48.09,1
53.74,8.77,434.91,70.8,0
67.42,22.31,545.2,56.78,1
52.78,6.38,606.98,71.69,0
69.76,28.32,401.98,51.37,1
74.74,28.16,451.95,52.74,1
68.96,27.78,446.8,51.3,1
46.5,4.0,414.12,75.73,0
66.43,17.04,450.79,64.29,1
28.9,12.33,367.85,58.41,0
64.22,6.4,621.38,75.44,1
63.78,23.61,529.25,54.02,1
56.51,4.0,725.72,80.71,1
45.54,4.24,471.27,73.46,0
67.01,24.35,376.63,55.84,1
23.97,16.46,141.51,53.85,0
56.24,5.99,556.37,73.94,1
58.92,8.08,573.43,71.97,1
10.0,21.52,50.0,43.08,0
34.65,11.31,413.82,61.2,0
38.14,9.05,503.21,64.34,0
82.72,12.96,700.85,72.42,1
45.87,4.0,871.06,70.66,0
35.06,9.66,504.48,62.47,0
50.61,4.91,743.25,71.35,0
77.35,4.89,737.23,80.63,1
24.33,12.21,243.26,58.36,0
75.19,31.36,447.54,48.8,1
24.65,13.38,176.54,57.68,0
33.22,7.98,252.11,66.79,0
56.25,7.55,553.58,71.95,1
15.31,8.1,730.37,55.23,0
37.08,10.92,353.81,63.19,0
70.38,4.89,710.52,78.52,1
76.56,4.0,787.34,82.77,1
40.05,8.12,603.99,65.1,0
50.28,7.36,638.99,69.2,1
84.72,39.29,161.01,44.95,1
54.08,8.17,685.42,68.95,1
41.51,4.0,128.65,79.32,0
25.63,19.99,376.21,47.28,0
66.6,20.29,285.28,61.95,1
57.57,19.5,372.86,58.91,1
55.58,4.0,590.81,86.1,1
65.19,4.77,662.82,77.42,1
36.27,7.94,289.88,67.48,0
63.47,23.76,701.17,51.82,1
65.41,5.72,578.55,77.19,1
51.48,4.0,469.81,81.25,0
59.52,4.0,652.96,83.06,1
27.69,8.08,681.77,60.04,0
59.94,4.73,612.0,76.23,1
44.62,4.0,504.36,74.74,0
50.46,4.0,605.75,74.45,0
34.85,11.94,302.61,61.66,0
45.79,4.0,485.98,75.67,0
24.98,9.98,558.7,58.01,0
39.18,5.76,757.22,66.16,0
74.95,40.97,852.92,35.0,1
67.04,18.05,539.75,62.21,1
88.23,13.97,781.27,72.12,1
19.04,13.73,50.0,56.74,0
47.45,4.0,651.87,73.86,1
42.05,5.89,448.73,70.37,0
23.74,9.85,50.0,63.89,0
69.24,14.16,515.03,68.28,1
53.21,4.0,496.43,79.72,0
30.83,7.24,162.78,67.9,0
26.21,11.13,173.95,61.16,0
92.91,22.8,658.71,63.65,1
49.34,8.38,456.14,69.57,0
33.35,8.72,592.38,62.14,0
55.84,4.0,402.23,86.8,0
35.27,5.21,778.92,65.3,0
11.12,11.14,493.35,52.46,0
70.41,27.08,581.2,51.23,1
69.63,26.72,504.43,52.27,1
67.63,23.71,565.94,54.8,1
38.56,12.64,606.12,58.71,0
54.78,8.82,530.85,70.05,1
87.03,4.44,891.95,82.84,1
66.36,4.0,385.6,95.0,0
14.92,7.5,786.7,55.25,0
46.74,6.44,701.76,68.49,0
59.39,9.07,386.83,72.89,0
22.41,10.95,468.69,56.85,0
59.12,12.63,497.83,66.97,1
61.4,4.0,519.17,91.95,0
10.0,19.71,50.0,45.84,0
53.76,4.0,897.47,74.24,0
59.47,20.36,785.75,53.93,1
21.2,9.05,661.89,56.77,0
78.63,4.0,891.77,85.56,1
36.01,5.47,237.09,71.16,0
69.41,4.0,690.75,80.12,1
56.28,4.0,875.39,75.73,0
47.95,4.18,793.06,70.83,0
36.6,8.63,590.14,63.4,0
23.52,17.32,370.39,50.06,0
51.05,12.77,728.97,61.49,1
57.42,17.06,474.28,60.91,1
59.58,21.07,655.72,54.47,1
56.18,4.0,595.58,84.96,1
34.18,7.27,704.02,63.07,0
51.21,5.65,632.24,71.82,0
41.06,9.8,516.97,64.21,0
69.75,17.39,258.16,67.1,1
40.24,6.29,316.17,70.69,0
53.09,7.73,561.11,70.55,0
80.02,27.52,52.79,59.76,1
67.5,36.53,795.69,35.64,1
60.92,31.26,976.01,38.22,1
19.9,10.4,530.69,56.02,0
34.88,7.51,687.64,63.19,0
32.69,4.0,50.0,75.99,0
48.1,6.41,436.47,71.91,0
51.12,4.56,780.57,71.57,0
51.59,4.67,591.36,73.66,0
38.28,4.0,50.0,81.48,0
35.04,10.41,476.69,61.8,0
69.3,4.0,625.64,82.23,1
71.15,17.09,546.61,64.79,1
43.17,6.02,723.42,67.57,0
62.94,14.33,418.52,66.95,1
64.35,23.43,416.48,55.68,1
17.18,24.47,484.25,37.39,0
75.42,42.64,758.46,35.0,1
53.11,4.0,491.69,78.31,1
22.51,10.14,50.46,62.53,0
39.26,4.62,798.94,67.21,0
64.53,4.0,407.0,95.0,0
70.62,14.77,514.92,67.96,1
57.6,4.0,698.35,91.17,1
44.55,4.65,775.66,69.24,0
27.0,14.8,424.77,53.94,0
38.22,10.02,475.96,63.41,0
53.77,23.57,1000.0,44.88,1
44.54,4.0,185.43,81.56,0
44.79,4.0,293.09,81.21,0
59.09,17.88,540.4,59.69,1
71.07,30.97,675.81,45.38,1
32.2,9.22,550.27,61.56,0
27.76,10.34,159.8,62.87,0
20.78,10.3,50.0,63.63,0
34.47,4.08,869.77,65.48,0
64.82,4.14,696.94,77.74,1
56.21,9.13,524.3,70.21,1
40.28,4.05,317.05,73.6,0
66.45,26.7,660.49,49.49,1
20.82,12.37,424.11,54.95,0
55.16,4.0,642.72,89.11,1
61.44,10.39,494.0,70.71,1
58.19,4.0,490.93,89.84,0
41.38,6.13,702.6,67.04,0
61.47,30.07,884.77,40.95,1
30.89,12.2,414.55,58.75,0
45.31,4.0,455.25,74.45,0
39.24,8.52,520.91,65.2,0
63.06,29.01,737.34,44.49,1
79.61,12.03,644.6,73.18,1
37.61,5.62,788.62,65.46,0
39.07,4.0,65.83,82.64,0
47.21,5.07,734.1,70.07,0
73.22,4.0,834.67,89.1,1
69.11,6.57,664.26,76.42,1
41.53,4.0,265.88,75.43,0
36.48,7.72,312.66,67.58,0
51.9,5.01,706.1,72.06,0
36.67,6.87,337.52,68.48,0
42.06,6.53,679.83,67.01,0
69.41,38.41,867.46,35.0,1
50.89,18.23,763.86,53.97,1
69.81,24.66,531.58,54.7,1
47.37,9.58,483.08,67.04,0
27.63,12.32,187.97,59.95,0
28.53,4.81,853.38,62.69,0
30.59,5.68,59.16,70.98,0
53.16,4.0,686.16,86.59,1
29.74,7.85,668.81,61.18,0
31.23,7.73,648.32,62.08,0
50.48,5.72,688.19,70.86,0
67.04,33.62,841.66,38.74,1
55.45,18.0,867.69,54.69,1
69.97,17.74,545.88,63.56,1
12.23,11.76,496.88,52.0,0
57.53,19.89,882.31,52.81,1
68.35,30.16,743.87,44.74,1
28.69,6.38,799.3,61.29,0
60.87,24.28,710.58,50.16,1
39.98,4.0,176.28,76.72,0
68.13,19.76,447.05,61.4,1
56.58,4.64,614.5,75.16,1
27.59,14.87,340.46,54.96,0
53.11,4.0,438.26,85.98,0
29.14,8.03,696.51,60.44,0
41.69,7.68,461.83,67.78,0
41.12,7.91,631.77,65.42,0
10.0,34.27,181.64,35.0,0
63.51,28.74,682.71,45.59,1
34.7,10.0,321.58,63.92,0
55.5,4.0,360.06,91.96,0
55.19,13.32,481.44,64.91,1
37.51,4.0,199.41,78.28,0
65.41,8.05,600.57,73.93,1
26.51,15.42,416.59,53.05,0
43.9,5.59,798.5,67.56,0
51.58,7.79,561.96,69.94,1
30.8,6.45,719.55,62.8,0
18.77,19.27,341.91,46.23,0
32.74,10.89,286.9,62.48,0
62.32,4.0,633.48,83.6,1
15.09,9.6,670.18,53.88,0
40.32,6.3,696.94,66.53,0
48.74,4.0,566.33,79.64,1
82.28,39.34,528.95,40.01,1
68.68,5.99,667.85,76.99,1
60.64,19.05,617.79,57.87,1
46.21,4.0,391.01,75.91,0
64.14,16.47,529.18,63.38,1
62.34,12.95,508.32,67.55,1
23.61,6.44,783.82,59.64,0
21.09,11.72,50.0,60.61,0
58.95,15.28,613.95,62.21,1
39.2,4.9,873.62,66.01,0
63.02,9.05,561.57,72.24,1
34.3,9.78,253.44,64.81,0
40.37,4.0,50.0,82.45,0
32.7,7.99,599.68,62.78,0
48.57,8.2,672.78,67.16,0
40.98,8.33,443.01,66.91,0
25.22,12.37,143.57,59.55,0
42.23,8.95,479.86,66.13,0
72.26,32.21,755.27,43.31,1
62.4,30.6,751.62,42.05,1
68.44,17.62,323.45,65.63,1
54.32,24.81,391.72,50.72,1
58.75,4.0,642.75,82.0,0
22.27,11.47,479.64,56.01,0
50.21,5.47,585.4,72.21,0
63.59,14.57,365.74,67.45,1
34.63,6.11,195.66,70.32,0
65.32,15.53,492.3,65.4,1
37.34,9.32,517.53,63.55,0
33.44,10.83,428.39,61.24,0
52.61,6.82,555.67,71.62,0
80.85,13.59,722.17,70.73,1
64.89,12.43,507.93,69.11,1
32.55,9.66,523.66,61.4,0
42.27,6.81,597.07,67.63,0
32.97,11.18,275.66,62.3,0
46.29,4.0,316.58,79.09,0
30.31,5.32,790.98,63.33,0
88.87,13.25,845.99,72.56,1
18.03,17.4,76.73,51.3,0
45.09,6.75,660.89,67.97,0
67.13,32.43,733.17,41.51,1
61.88,17.37,359.56,63.31,0
27.86,10.39,570.14,58.34,0
25.89,11.53,487.28,57.09,0
18.14,22.58,394.56,41.14,0
32.2,13.27,283.82,59.24,0
25.34,16.78,349.84,51.62,0
71.7,26.92,425.45,53.59,1
23.19,11.28,50.0,61.63,0
19.05,10.32,619.2,54.86,0
35.86,10.02,492.69,62.42,0
48.5,7.0,618.48,69.28,0
51.13,9.03,526.37,68.58,1
38.39,4.0,921.89,68.14,0
10.0,14.7,415.83,45.58,0
34.64,6.85,747.14,63.3,0
63.86,13.75,325.92,69.04,1
16.94,8.4,772.82,54.93,0
39.49,5.67,342.48,70.94,0
78.39,14.41,604.51,70.11,1
10.0,16.13,50.0,52.64,0
83.43,39.17,417.66,41.85,1
21.16,18.04,254.34,49.6,0
55.76,4.0,690.72,77.85,0
43.88,10.37,397.53,65.76,0
71.44,27.71,629.49,50.23,1
37.59,6.45,740.16,64.92,0
42.85,5.02,337.08,73.0,0
68.12,7.92,711.29,73.82,1
34.02,4.45,156.69,72.68,0
61.1,7.3,634.96,73.05,1
24.76,5.18,836.66,61.1,0
46.56,4.0,435.99,76.68,0
63.61,36.29,1000.0,35.0,1
59.7,4.0,717.86,82.49,1
50.97,4.0,664.77,90.1,1
61.66,9.48,167.94,75.55,1
44.78,8.78,527.29,66.71,0
13.89,12.16,481.56,52.22,0
39.57,6.01,285.28,71.16,0
66.96,23.51,612.08,54.33,1
41.79,7.94,601.81,65.94,0
45.45,6.34,652.53,68.72,0
32.06,12.82,378.56,58.74,0
50.27,6.08,581.0,71.49,0
53.29,4.0,288.31,88.36,0
64.09,5.53,712.88,75.5,1
26.75,11.91,407.7,57.77,0
28.5,10.67,198.44,62.27,0
13.0,12.69,487.28,51.16,0
72.73,36.32,703.84,38.72,1
57.01,25.19,391.29,51.16,1
71.45,14.56,613.66,67.44,1
40.81,7.35,639.19,65.96,0
64.17,24.6,760.3,50.33,1
72.07,27.48,338.18,53.95,1
47.74,19.38,1000.0,47.25,1
84.24,52.96,619.67,35.0,1
86.93,35.52,450.16,47.42,1
62.64,4.0,682.91,83.55,1
63.12,18.59,591.54,59.6,1
72.6,4.0,865.34,87.2,1
49.53,4.0,936.79,73.7,0
72.93,33.5,598.4,43.59,1
29.26,4.48,50.0,74.37,0
29.72,11.78,403.13,59.01,0
58.87,7.34,604.43,72.57,1
10.0,14.92,50.0,53.27,0
59.92,15.59,679.12,61.43,1
30.34,7.58,50.0,68.99,0
55.77,4.0,664.81,76.02,1
31.94,10.27,319.81,62.64,0
67.94,25.74,407.62,54.03,1
11.18,11.41,587.26,51.09,0
49.5,9.22,700.93,65.85,0
63.58,23.67,751.73,51.43,1
60.98,12.59,581.06,66.75,1
21.33,14.76,241.43,54.04,0
30.33,15.67,459.77,53.56,0
69.12,30.49,610.14,46.06,1
28.46,9.36,80.69,65.26,0
48.89,4.5,558.02,73.32,0
41.53,4.42,854.95,67.64,0
75.64,33.38,527.44,45.46,1
48.76,8.72,541.45,68.0,0
75.94,4.0,854.32,90.64,1
68.03,26.5,717.36,49.67,1
51.67,6.38,605.97,71.32,0
29.81,10.81,472.84,59.53,0
71.25,13.56,658.59,68.17,1
26.12,8.78,655.38,58.89,0
44.41,4.9,763.61,69.0,0
38.02,7.82,533.7,65.55,0
63.91,4.0,760.48,87.48,1
55.48,21.8,944.07,48.96,1
16.63,16.48,50.0,52.66,0
51.9,17.78,462.55,58.21,1
47.2,4.0,584.9,74.85,1
52.72,4.49,760.3,72.43,0
58.69,11.32,608.64,67.31,1
50.52,4.0,400.69,85.88,0
27.15,13.54,280.94,57.18,0
65.95,13.23,227.87,71.5,1
42.72,5.18,757.98,68.13,0
68.09,7.97,618.25,74.77,1
57.54,15.19,754.1,60.3,1
36.04,7.05,681.43,64.25,0
42.43,4.0,50.0,83.76,0
43.05,5.81,707.63,67.97,0
31.0,10.34,228.44,63.23,0
90.29,19.42,751.55,66.11,1
48.85,4.0,408.84,76.1,0
60.48,4.0,711.23,81.74,1
45.74,4.6,779.93,69.67,0
10.0,20.45,50.0,44.61,0
70.87,26.48,442.49,53.69,1
37.56,7.09,657.02,64.99,0
62.26,21.96,699.07,53.76,1
47.79,4.0,533.96,76.53,1
27.15,10.19,62.21,63.93,0
61.26,27.26,758.37,45.91,1
73.14,9.63,674.66,73.73,1
41.27,8.6,629.51,64.61,0
68.79,4.0,822.51,89.18,1
72.49,23.9,450.76,57.48,1
45.22,4.0,305.5,79.85,0
50.44,4.0,426.8,81.08,0
67.9,4.0,735.12,80.03,0
63.71,4.0,450.79,95.0,0
40.95,6.28,661.3,67.15,0
52.1,4.0,587.23,79.01,1
63.96,18.05,428.13,62.38,0
29.32,8.63,315.46,63.91,0
54.52,11.55,549.25,66.23,1
46.31,5.07,742.4,69.68,0
56.83,25.9,981.06,43.7,1
37.08,4.0,193.6,74.59,0
79.73,22.6,75.91,65.77,1
65.49,19.85,488.25,59.92,1
60.55,28.29,841.45,43.41,1
31.8,9.83,515.78,61.02,0
54.34,8.91,863.57,66.13,0
58.97,5.08,726.09,74.19,0
10.0,31.15,50.0,35.0,0
45.79,8.27,860.56,64.06,1
25.08,10.8,537.16,57.21,0
47.16,6.92,773.57,67.23,1
81.63,26.66,557.14,55.89,1
23.77,5.98,50.0,70.38,0
51.76,4.0,576.75,76.36,1
59.07,19.1,722.47,56.11,1
21.82,8.36,675.54,57.73,0
60.25,6.77,639.87,73.39,1
56.54,14.71,635.68,61.88,1
51.94,4.0,283.26,89.69,0
34.21,11.41,386.23,61.22,0
86.07,36.97,501.14,44.68,1
16.37,9.91,581.39,54.88,0
23.71,20.71,476.17,44.58,0
50.59,6.75,599.68,70.53,0
42.03,4.0,599.82,82.82,1
70.94,33.01,883.28,40.42,1
63.12,13.68,279.55,69.38,1
28.58,11.64,239.04,60.61,0
74.02,13.47,50.0,77.0,1
77.33,38.21,625.81,38.71,1
58.63,16.74,449.87,62.01,1
58.54,19.07,846.87,54.6,1
27.52,8.89,626.37,59.54,0
27.85,14.87,285.92,55.65,0
40.04,6.12,726.99,66.33,0
55.06,21.08,875.74,50.49,1
38.64,6.55,719.51,65.37,0
76.7,17.62,647.64,64.91,1
54.23,4.74,762.07,72.6,0
27.42,12.17,403.4,57.71,0
34.47,16.48,546.94,52.98,0
63.53,28.92,891.2,43.08,1
70.9,29.79,675.73,46.84,1
68.08,4.0,638.63,81.31,1
32.24,4.0,949.59,64.35,0
66.38,9.82,638.04,71.57,1
28.91,10.16,546.22,59.25,0
65.64,22.66,486.6,56.34,1
29.35,5.7,50.0,70.95,0
43.78,7.54,353.85,69.87,0
67.15,13.07,155.87,72.92,1
38.06,5.59,190.9,72.22,0
24.86,12.03,65.84,60.72,0
64.63,21.01,577.71,57.13,1
65.56,7.88,622.43,73.97,1
23.9,12.21,483.05,55.57,0
31.86,10.21,309.33,62.81,0
36.47,8.86,590.57,63.06,0
46.51,4.19,845.29,69.75,0
51.17,4.0,1000.0,74.48,0
55.51,4.0,619.02,77.79,0
55.0,16.39,769.41,57.71,1
46.06,8.9,630.18,65.86,0
57.88,16.19,449.4,62.47,1
55.28,4.0,830.41,74.61,0
33.38,4.17,873.05,64.95,0
53.95,7.35,580.01,71.13,0
67.58,13.1,138.23,73.21,1
38.77,6.4,699.37,65.83,0
47.54,4.0,316.23,79.57,0
69.31,30.86,458.9,47.3,1
31.72,7.01,723.73,62.35,0
75.51,4.0,823.38,84.51,1
21.87,6.55,50.0,68.89,0
35.31,5.77,805.48,64.29,0
23.87,5.26,50.0,72.09,0
15.89,15.63,50.0,54.17,0
20.78,14.62,109.03,55.48,0
10.0,23.16,50.0,41.51,0
50.57,4.0,447.61,78.3,0
71.06,14.83,751.66,65.44,1
53.67,4.0,994.59,75.79,0
25.95,10.29,520.16,58.35,1
16.78,12.21,451.13,53.48,0
17.98,11.3,498.44,54.55,0
35.03,6.93,719.03,63.65,0
27.2,4.0,50.0,74.23,0
65.15,22.37,687.09,54.35,1
50.8,4.0,855.1,72.91,0
34.31,8.09,627.65,62.91,0
59.1,5.83,589.75,74.76,0
19.18,11.64,435.83,55.21,0
45.31,9.25,422.27,67.43,0
55.09,23.23,726.82,49.35,1
60.47,24.08,666.33,50.76,1
29.42,16.78,414.38,52.31,0
21.33,10.99,50.0,61.54,0
41.26,9.07,547.6,64.89,0
57.59,4.0,235.02,95.0,0
35.28,4.0,1000.0,66.21,0
79.04,23.62,512.24,59.43,1
64.38,14.12,519.39,66.61,1
37.72,12.19,569.91,59.4,0
71.61,35.52,658.7,39.86,1
69.97,33.16,485.52,44.25,1
55.65,4.0,50.0,95.0,0
43.81,6.86,698.3,66.97,0
39.14,4.0,868.22,67.57,0
32.58,4.74,815.06,64.59,0
35.69,4.56,108.3,73.64,0
73.5,11.65,687.36,71.1,1
24.68,19.35,445.44,47.01,0
65.76,25.73,635.26,50.78,1
80.41,20.01,625.86,63.33,1
45.64,4.0,858.87,69.93,0
42.31,7.32,426.19,68.85,0
31.61,9.63,165.62,65.05,0
34.47,8.8,582.5,62.53,0
27.24,15.76,350.67,53.58,0
48.08,4.0,485.22,76.62,0
36.02,6.44,755.03,64.23,0
67.98,23.97,645.49,53.71,1
32.69,8.35,654.97,61.71,0
30.7,9.51,544.94,60.73,0
67.15,23.85,504.67,55.13,1
33.7,4.0,50.0,77.77,0
27.32,15.52,331.41,54.13,0
34.99,8.1,573.42,63.71,0
57.47,4.0,784.95,95.0,1
39.09,6.99,661.74,65.59,0
34.17,7.69,605.11,63.62,0
34.12,6.53,756.89,63.44,0
56.94,17.51,641.98,58.32,0
66.48,26.74,859.54,47.26,1
45.86,5.89,508.04,71.03,0
33.7,8.31,227.29,66.79,0
23.4,10.13,578.0,57.05,0
10.0,26.34,220.03,35.13,0
62.96,8.34,617.64,72.53,1
42.14,6.77,405.48,69.74,0
62.89,7.78,617.23,73.23,1
70.37,14.14,626.76,67.46,1
40.97,4.36,324.76,73.34,1
25.91,11.52,456.31,57.45,0
56.42,4.0,505.11,84.3,0
49.72,4.0,236.83,87.92,0
45.79,7.7,517.35,68.56,0
17.77,15.64,59.32,53.68,0
70.04,15.96,456.9,66.86,1
68.73,19.96,471.6,61.07,1
44.58,6.33,701.94,67.89,0
44.43,4.7,722.92,69.73,0
22.44,10.59,581.9,56.09,0
65.14,19.8,454.2,60.24,1
55.38,4.0,708.14,84.63,1
20.64,10.65,508.84,56.19,0
19.55,18.94,179.29,48.7,0
79.87,7.0,754.55,78.58,1
61.54,12.75,251.76,70.35,1
64.64,5.75,557.94,77.12,0
48.51,4.0,695.1,93.08,1
66.63,15.17,600.54,65.13,1
35.02,10.66,465.89,61.59,0
33.17,6.69,736.97,63.12,0
18.93,11.51,542.78,54.12,0
67.81,15.33,519.68,66.22,1
38.04,5.17,224.53,72.38,0
59.42,13.07,589.67,65.5,1
57.45,4.0,512.38,90.41,0
10.0,17.19,50.0,50.34,0
57.53,4.0,492.67,82.18,0
32.83,10.26,477.9,61.22,0
35.65,8.38,370.95,65.8,0
82.48,16.32,743.96,67.52,1
51.2,10.24,770.8,64.34,1
34.38,7.14,175.15,69.12,0
69.92,19.82,510.24,61.24,1
10.0,21.81,50.0,42.55,0
74.63,8.07,758.69,75.34,1
75.94,4.0,827.7,90.74,1
39.5,6.74,723.34,65.38,0
49.88,7.35,639.08,69.09,0
57.62,4.0,464.51,91.05,0
45.49,8.74,573.87,66.49,0
41.83,7.75,570.53,66.56,0
57.83,21.81,900.74,50.21,1
67.13,22.95,472.32,56.65,1
44.14,5.91,749.76,67.76,0
27.23,11.74,411.02,58.11,0
42.02,7.33,620.91,66.61,0
65.54,4.0,823.23,89.41,1
28.32,15.36,388.23,54.06,0
58.81,17.77,665.23,58.38,1
39.86,7.16,390.57,68.61,0
31.7,14.8,358.15,56.28,0
61.09,17.17,622.45,60.4,1
58.0,10.02,550.0,69.4,1
20.55,9.86,50.0,63.28,0
35.42,10.26,477.04,62.12,0
58.43,4.0,626.1,77.87,1
23.04,21.43,595.63,42.11,0
59.13,23.43,708.98,50.68,1
30.44,6.87,50.0,69.62,0
52.1,4.0,340.76,86.7,0
33.24,9.39,245.5,65.05,0
19.93,13.79,62.79,56.78,0
50.28,4.0,544.1,77.28,1
29.33,5.31,54.21,71.09,0
74.48,15.21,570.68,68.11,1
28.95,9.37,590.94,59.8,0
36.15,9.47,555.71,62.53,0
65.79,4.0,752.14,85.03,1
71.96,24.98,476.62,55.63,1
71.16,29.19,655.55,47.93,1
50.87,6.14,611.85,71.29,0
43.48,5.54,393.84,71.92,0
63.1,13.91,462.31,67.08,1
33.46,7.78,681.78,62.41,0
10.0,13.98,369.63,49.18,0
75.68,43.68,745.22,35.0,1
33.13,5.57,219.69,70.23,0
50.14,4.0,297.36,85.91,0
51.3,4.0,679.3,81.08,1
84.54,17.71,633.06,67.64,1
21.62,9.21,50.0,64.9,0
37.37,10.53,512.22,62.05,0
40.32,10.95,497.2,62.69,0
45.24,4.0,1000.0,72.95,0
48.17,6.22,542.12,71.01,1
43.29,5.76,422.72,71.25,0
75.35,22.34,540.65,59.51,1
31.33,10.07,264.23,63.29,0
47.59,4.0,281.7,81.25,0
64.37,17.78,431.31,62.84,1
18.33,13.48,387.17,53.07,0
29.94,6.58,739.89,62.12,0
42.42,6.49,381.83,70.45,0
59.44,20.73,868.01,52.53,1
65.02,18.54,403.54,62.38,1
48.88,9.47,420.52,68.4,0
49.74,9.0,483.29,68.6,1
49.06,4.0,260.83,83.29,0
10.08,14.46,394.05,48.89,0
49.92,6.4,607.89,70.67,0
40.99,10.47,1000.0,56.71,1
37.77,4.0,73.36,79.07,0
22.43,11.7,466.0,55.92,0
27.08,5.3,843.38,61.67,0
63.73,12.61,561.26,67.89,1
36.24,12.32,327.77,61.37,0
65.56,17.38,358.47,64.57,1
27.66,9.7,537.07,59.52,0
42.45,5.46,314.33,72.54,0
46.22,4.0,279.18,78.99,0
52.51,4.0,360.06,79.46,0
62.34,6.47,592.26,75.02,1
26.88,13.65,327.7,56.44,0
32.03,9.83,252.5,63.98,0
69.46,32.09,765.65,42.39,1
58.69,9.27,662.67,69.36,1
33.45,7.11,709.09,62.98,0
45.16,8.09,541.45,67.58,0
51.68,4.0,383.81,86.77,0
42.6,4.0,89.84,85.36,0
